2017-01-06 05:34:33,524 - INFO - Initializing cpmlogger.
2017-01-06 05:34:33,525 - INFO - BOOTSTRAP, type = 1 , host_count = 4
2017-01-06 05:34:51,701 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 05:34:51,939 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 05:34:51,940 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,11, {'src_port': 1, 'dst_name': 's1-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 'b1-eth1'})
2017-01-06 05:34:51,940 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,12, {'src_port': 2, 'dst_name': 's2-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 'b1-eth2'})
2017-01-06 05:34:51,940 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,13, {'bw': 10, 'src_port': 1, 'dst_name': 'b1-eth3', 'weight': 0, 'src_name': 's3-eth1', 'dst_port': 3})
2017-01-06 05:34:51,940 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,1, {'src_port': 1, 'dst_name': 'b1-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's1-eth1'})
2017-01-06 05:34:51,940 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,12, {'src_port': 2, 'dst_name': 's2-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's1-eth2'})
2017-01-06 05:34:51,940 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,21, {'src_port': 3, 'dst_name': 'l1-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's1-eth3'})
2017-01-06 05:34:51,941 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,22, {'src_port': 4, 'dst_name': 'l2-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's1-eth4'})
2017-01-06 05:34:51,941 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,24, {'src_port': 5, 'dst_name': 'l4-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's2-eth5'})
2017-01-06 05:34:51,941 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,1, {'src_port': 1, 'dst_name': 'b1-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's2-eth1'})
2017-01-06 05:34:51,941 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,11, {'src_port': 2, 'dst_name': 's1-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's2-eth2'})
2017-01-06 05:34:51,941 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,13, {'bw': 10, 'src_port': 2, 'dst_name': 's2-eth3', 'weight': 0, 'src_name': 's3-eth2', 'dst_port': 3})
