2017-01-06 01:27:52,848 - INFO - Initializing CPM bootstrap logger
2017-01-06 01:28:14,330 - DEBUG - list of edges: self.net.edges [] 
2017-01-06 01:28:14,330 - DEBUG - list of nodes: 
 []
2017-01-06 01:28:14,330 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:14,330 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:14,331 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:14,351 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:14,701 - DEBUG - list of edges: self.net.edges [(1, 12), (1, 13), (12, 1), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 22), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 13), (24, 23)] 
2017-01-06 01:28:14,701 - DEBUG - list of nodes: 
 [1, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:14,702 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:14,702 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:14,702 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:14,702 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,129 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 01:28:15,129 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:15,131 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:15,131 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:15,132 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:15,132 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,423 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 01:28:15,424 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:15,424 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:15,424 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:15,424 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:15,424 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,449 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 01:28:15,449 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:15,449 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:15,449 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:15,451 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:15,451 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,471 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 01:28:15,475 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:15,475 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:15,475 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:15,475 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:15,476 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,491 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 01:28:15,491 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:15,495 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:15,496 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:15,496 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:15,496 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,515 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 01:28:15,515 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 01:28:15,516 - DEBUG - l2_lookup_table : {}
2017-01-06 01:28:15,516 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 01:28:15,516 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 01:28:15,516 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 01:28:15,530 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,531 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,533 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,534 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,537 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,538 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,538 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,549 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,554 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,563 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,567 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,573 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,573 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,574 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,581 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,582 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,590 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,595 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,601 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,605 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,605 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,606 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,610 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,614 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,616 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,616 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,617 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,618 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,618 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,618 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,626 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,626 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,627 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,630 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,630 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,635 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,637 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,638 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,638 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,642 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,643 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 01:28:15,646 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
