2017-01-06 01:27:52,848 - INFO - Initializing cpmlogger.
2017-01-06 01:27:52,848 - INFO - BOOTSTRAP, type = 1 , host_count = 4
2017-01-06 01:28:14,330 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 01:28:14,680 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 01:28:14,680 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,12, {'bw': 10, 'src_port': 1, 'dst_name': 'b1-eth2', 'weight': 0, 'src_name': 's2-eth1', 'dst_port': 2})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,13, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth1', 'weight': 0, 'src_name': 'b1-eth3', 'dst_port': 1})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,1, {'bw': 10, 'src_port': 1, 'dst_name': 'b1-eth2', 'weight': 0, 'src_name': 's2-eth1', 'dst_port': 2})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,13, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth2', 'weight': 0, 'src_name': 's2-eth3', 'dst_port': 2})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,22, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth2', 'weight': 0, 'src_name': 's2-eth4', 'dst_port': 2})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,24, {'bw': 10, 'src_port': 2, 'dst_name': 's3-eth4', 'weight': 0, 'src_name': 'l4-eth2', 'dst_port': 4})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,1, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth1', 'weight': 0, 'src_name': 'b1-eth3', 'dst_port': 1})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,12, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth2', 'weight': 0, 'src_name': 's2-eth3', 'dst_port': 2})
2017-01-06 01:28:14,681 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,23, {'bw': 10, 'src_port': 1, 'dst_name': 's3-eth3', 'weight': 0, 'src_name': 'l3-eth1', 'dst_port': 3})
2017-01-06 01:28:14,682 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (21,22, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth3', 'weight': 0, 'src_name': 'l1-eth2', 'dst_port': 3})
2017-01-06 01:28:14,682 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,12, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth2', 'weight': 0, 'src_name': 's2-eth4', 'dst_port': 2})
2017-01-06 01:28:14,682 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,21, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth3', 'weight': 0, 'src_name': 'l1-eth2', 'dst_port': 3})
2017-01-06 01:28:14,682 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,23, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth4', 'weight': 0, 'src_name': 'l3-eth2', 'dst_port': 4})
2017-01-06 01:28:14,682 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (23,24, {'bw': 10, 'src_port': 3, 'dst_name': 'l4-eth3', 'weight': 0, 'src_name': 'l3-eth3', 'dst_port': 3})
2017-01-06 01:28:14,693 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (23,13, {'bw': 10, 'src_port': 1, 'dst_name': 's3-eth3', 'weight': 0, 'src_name': 'l3-eth1', 'dst_port': 3})
2017-01-06 01:28:14,701 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (23,22, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth4', 'weight': 0, 'src_name': 'l3-eth2', 'dst_port': 4})
2017-01-06 01:28:14,701 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (24,13, {'bw': 10, 'src_port': 2, 'dst_name': 's3-eth4', 'weight': 0, 'src_name': 'l4-eth2', 'dst_port': 4})
2017-01-06 01:28:14,701 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (24,23, {'bw': 10, 'src_port': 3, 'dst_name': 'l4-eth3', 'weight': 0, 'src_name': 'l3-eth3', 'dst_port': 3})
2017-01-06 01:28:15,106 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 01:28:15,106 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,11, {'bw': 10, 'src_port': 1, 'dst_name': 'b1-eth1', 'weight': 0, 'src_name': 's1-eth1', 'dst_port': 1})
2017-01-06 01:28:15,106 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,12, {'src_port': 2, 'dst_name': 's2-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 'b1-eth2'})
2017-01-06 01:28:15,107 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,13, {'src_port': 3, 'dst_name': 's3-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 'b1-eth3'})
2017-01-06 01:28:15,107 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,1, {'bw': 10, 'src_port': 1, 'dst_name': 'b1-eth1', 'weight': 0, 'src_name': 's1-eth1', 'dst_port': 1})
2017-01-06 01:28:15,115 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,12, {'bw': 10, 'src_port': 2, 'dst_name': 's2-eth2', 'weight': 0, 'src_name': 's1-eth2', 'dst_port': 2})
2017-01-06 01:28:15,115 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,21, {'bw': 10, 'src_port': 3, 'dst_name': 'l1-eth1', 'weight': 0, 'src_name': 's1-eth3', 'dst_port': 1})
2017-01-06 01:28:15,115 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,22, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth1', 'weight': 0, 'src_name': 's1-eth4', 'dst_port': 1})
2017-01-06 01:28:15,115 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,24, {'src_port': 5, 'dst_name': 'l4-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's2-eth5'})
2017-01-06 01:28:15,116 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,1, {'src_port': 1, 'dst_name': 'b1-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's2-eth1'})
2017-01-06 01:28:15,116 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,11, {'bw': 10, 'src_port': 2, 'dst_name': 's2-eth2', 'weight': 0, 'src_name': 's1-eth2', 'dst_port': 2})
2017-01-06 01:28:15,116 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,13, {'src_port': 3, 'dst_name': 's3-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's2-eth3'})
2017-01-06 01:28:15,116 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,22, {'src_port': 4, 'dst_name': 'l2-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's2-eth4'})
2017-01-06 01:28:15,117 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,24, {'src_port': 4, 'dst_name': 'l4-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's3-eth4'})
2017-01-06 01:28:15,117 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,1, {'src_port': 1, 'dst_name': 'b1-eth3', 'weight': 0, 'bw': 10, 'dst_port': 3, 'src_name': 's3-eth1'})
2017-01-06 01:28:15,117 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,12, {'src_port': 2, 'dst_name': 's2-eth3', 'weight': 0, 'bw': 10, 'dst_port': 3, 'src_name': 's3-eth2'})
2017-01-06 01:28:15,117 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,23, {'src_port': 3, 'dst_name': 'l3-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's3-eth3'})
