2017-01-06 01:07:22,421 - INFO - Initializing cpmlogger.
2017-01-06 01:07:22,421 - INFO - BOOTSTRAP, type = 1 , host_count = 4
2017-01-06 01:07:57,870 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 01:07:57,876 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,22, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth1', 'weight': 0, 'src_name': 's1-eth4', 'dst_port': 1})
2017-01-06 01:07:57,879 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,22, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth2', 'weight': 0, 'src_name': 's2-eth4', 'dst_port': 2})
2017-01-06 01:07:57,880 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (21,22, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth3', 'weight': 0, 'src_name': 'l1-eth2', 'dst_port': 3})
2017-01-06 01:07:57,885 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,11, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth1', 'weight': 0, 'src_name': 's1-eth4', 'dst_port': 1})
2017-01-06 01:07:57,888 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,12, {'bw': 10, 'src_port': 4, 'dst_name': 'l2-eth2', 'weight': 0, 'src_name': 's2-eth4', 'dst_port': 2})
2017-01-06 01:07:57,890 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,21, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth3', 'weight': 0, 'src_name': 'l1-eth2', 'dst_port': 3})
2017-01-06 01:07:57,890 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (22,23, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth4', 'weight': 0, 'src_name': 'l3-eth2', 'dst_port': 4})
2017-01-06 01:07:57,893 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (23,22, {'bw': 10, 'src_port': 2, 'dst_name': 'l2-eth4', 'weight': 0, 'src_name': 'l3-eth2', 'dst_port': 4})
2017-01-06 01:07:58,157 - INFO - ________________ ALL_TOPOLOGY_PRINT begin  : 'At start: Initializing topology'________
2017-01-06 01:07:58,159 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,11, {'bw': 10, 'src_port': 1, 'dst_name': 's1-eth1', 'weight': 0, 'src_name': 'b1-eth1', 'dst_port': 1})
2017-01-06 01:07:58,161 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (1,13, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth1', 'weight': 0, 'src_name': 'b1-eth3', 'dst_port': 1})
2017-01-06 01:07:58,162 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,1, {'bw': 10, 'src_port': 1, 'dst_name': 's1-eth1', 'weight': 0, 'src_name': 'b1-eth1', 'dst_port': 1})
2017-01-06 01:07:58,163 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,12, {'bw': 10, 'src_port': 2, 'dst_name': 's1-eth2', 'weight': 0, 'src_name': 's2-eth2', 'dst_port': 2})
2017-01-06 01:07:58,163 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,21, {'bw': 10, 'src_port': 1, 'dst_name': 's1-eth3', 'weight': 0, 'src_name': 'l1-eth1', 'dst_port': 3})
2017-01-06 01:07:58,165 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (11,22, {'src_port': 4, 'dst_name': 'l2-eth1', 'weight': 0, 'bw': 10, 'dst_port': 1, 'src_name': 's1-eth4'})
2017-01-06 01:07:58,165 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,24, {'bw': 10, 'src_port': 5, 'dst_name': 'l4-eth1', 'weight': 0, 'src_name': 's2-eth5', 'dst_port': 1})
2017-01-06 01:07:58,165 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,11, {'bw': 10, 'src_port': 2, 'dst_name': 's1-eth2', 'weight': 0, 'src_name': 's2-eth2', 'dst_port': 2})
2017-01-06 01:07:58,168 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,13, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth2', 'weight': 0, 'src_name': 's2-eth3', 'dst_port': 2})
2017-01-06 01:07:58,170 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (12,22, {'src_port': 4, 'dst_name': 'l2-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's2-eth4'})
2017-01-06 01:07:58,175 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,24, {'src_port': 4, 'dst_name': 'l4-eth2', 'weight': 0, 'bw': 10, 'dst_port': 2, 'src_name': 's3-eth4'})
2017-01-06 01:07:58,176 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,1, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth1', 'weight': 0, 'src_name': 'b1-eth3', 'dst_port': 1})
2017-01-06 01:07:58,177 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,12, {'bw': 10, 'src_port': 3, 'dst_name': 's3-eth2', 'weight': 0, 'src_name': 's2-eth3', 'dst_port': 2})
2017-01-06 01:07:58,178 - DEBUG - WEIGHTED_TOPOLOGY FINAL: (13,23, {'bw': 10, 'src_port': 3, 'dst_name': 'l3-eth1', 'weight': 0, 'src_name': 's3-eth3', 'dst_port': 1})
