2017-01-06 03:40:02,240 - INFO - Initializing CPM bootstrap logger
2017-01-06 03:40:05,653 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (12, 1), (12, 11), (12, 13), (13, 1), (13, 12)] 
2017-01-06 03:40:05,653 - DEBUG - list of nodes: 
 [1, 11, 12, 13]
2017-01-06 03:40:05,660 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:05,660 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:05,660 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:05,660 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,038 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,038 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,038 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,038 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,038 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,038 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,222 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,223 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,224 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,224 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,224 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,224 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,281 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,281 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,281 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,282 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,282 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,282 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,316 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,317 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,317 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,317 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,317 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,324 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,366 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,366 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,367 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,367 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,367 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,373 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,445 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,446 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,446 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,446 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,450 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,451 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,485 - DEBUG - list of edges: self.net.edges [(1, 11), (1, 12), (1, 13), (11, 1), (11, 12), (11, 21), (11, 22), (12, 24), (12, 1), (12, 11), (12, 13), (12, 22), (13, 24), (13, 1), (13, 12), (13, 23), (21, 11), (21, 22), (22, 11), (22, 12), (22, 21), (22, 23), (23, 24), (23, 13), (23, 22), (24, 12), (24, 13), (24, 23)] 
2017-01-06 03:40:06,485 - DEBUG - list of nodes: 
 [1, 11, 12, 13, 21, 22, 23, 24]
2017-01-06 03:40:06,485 - DEBUG - l2_lookup_table : {}
2017-01-06 03:40:06,485 - DEBUG - CPM BSTRAP_TABLES : l2_table = {}
2017-01-06 03:40:06,486 - DEBUG - CPM BSTRAP_TABLES : l2_mac2ip = {}
2017-01-06 03:40:06,486 - DEBUG - CPM BSTRAP_TABLES : l2_ip2mac = {}
2017-01-06 03:40:06,525 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,536 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,537 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,540 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,541 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,542 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,542 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,557 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,560 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,561 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,561 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,571 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,574 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,580 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,581 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,598 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,600 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,601 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,601 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,620 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,621 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,623 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,636 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,637 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,637 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,638 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,639 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,644 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,645 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,646 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,646 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,658 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,660 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,660 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,661 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,661 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,662 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,662 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,668 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,669 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,674 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,676 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,676 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
2017-01-06 03:40:06,677 - INFO - RX_NO_BCddAST_ONLY_TARGETED_DST_MAC : Sorry network bootstrap still in progress not computing spath , not installing any flows
