top - 09:14:36 up 1 day,  6:54,  2 users,  load average: 1,06, 0,28, 0,1
Tasks: 161 total,   3 running, 155 sleeping,   3 stopped,   0 zombie
%Cpu(s):  0,5 us,  0,1 sy,  0,0 ni, 99,0 id,  0,4 wa,  0,0 hi,  0,1 si, 
KiB Mem :  1016120 total,    96116 free,   473172 used,   446832 buff/ca
KiB Swap:  2095100 total,  2092080 free,     3020 used.   346256 avail M

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+
  557 ian       20   0    7480     96      0 R  53,3  0,0   0:24.50
  558 ian       20   0    7480     96      0 R  46,7  0,0   0:24.49
    1 root      20   0  119596   5480   4004 S   0,0  0,5   0:02.96
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.01
    3 root      20   0       0      0      0 S   0,0  0,0   0:02.83
    5 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
    7 root      20   0       0      0      0 S   0,0  0,0   0:10.23
    8 root      20   0       0      0      0 S   0,0  0,0   0:00.00
    9 root      rt   0       0      0      0 S   0,0  0,0   0:00.00
   10 root      rt   0       0      0      0 S   0,0  0,0   0:00.75
   11 root      rt   0       0      0      0 S   0,0  0,0   0:01.03
   12 root      rt   0       0      0      0 S   0,0  0,0   0:00.00
   13 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   15 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   16 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   17 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   18 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   19 root      20   0       0      0      0 S   0,0  0,0   0:00.04
   20 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   21 root      25   5       0      0      0 S   0,0  0,0   0:00.00
   22 root      39  19       0      0      0 S   0,0  0,0   0:00.60
   23 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   24 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   25 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   26 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   27 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   28 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   29 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   33 root      20   0       0      0      0 S   0,0  0,0   0:00.10
   34 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   35 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   36 root      20   0       0      0      0 S   0,0  0,0   0:00.00
   52 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   53 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   54 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   55 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   56 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   57 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
   58 root       0 -20       0      0      0 S   0,0  0,0   0:00.00
